"PartNumber","PipeSize","BendAngle","PSize","Schedule","POD","PThk","PID","H","J","M","Approx. Wt."
"416-040","4""","22+1/2 deg","DN100",40,"4.500 in","0.237 in","3.998 in","2+27/32 in","19/32 in","5+3/16 in","1.69 lb"
"416-050F","5""","22+1/2 deg","DN125",40,"5.563 in","0.258 in","5.016 in","4+1/8 in","1+1/8 in","6+1/16 in","2.27 lb"
"416-060","6""","22+1/2 deg","DN150",40,"6.625 in","0.280 in","6.031 in","4+9/16 in","1+9/32 in","7+3/16 in","4.39 lb"
"416-060F","6""","22+1/2 deg","DN150",40,"6.625 in","0.280 in","6.031 in","4+5/8 in","1+3/8 in","7+3/16 in","3.25 lb"
"416-080","8""","22+1/2 deg","DN200",40,"8.625 in","0.322 in","7.942 in","5+7/8 in","1+3/4 in","9+3/4 in","8.38 lb"
"416-080F","8""","22+1/2 deg","DN200",40,"8.625 in","0.322 in","7.942 in","5+13/16 in","1+9/16 in","9+1/4 in","5.73 lb"
"416-100F","10""","22+1/2 deg","DN250",40,"10.750 in","0.365 in","9.976 in","7+7/16 in","2+3/16 in","11+1/2 in","10.04 lb"
"416-120F","12""","22+1/2 deg","DN300",40,"12.750 in","0.406 in","11.889 in","8+1/2 in","2+1/4 in","13+9/16 in","15.74 lb"
"816-005","1/2""","22+1/2 deg","DN15",80,"0.840 in","0.147 in","0.526 in","1+1/16 in","3/16 in","1+5/32 in",".06 lb"
"816-007","3/4""","22+1/2 deg","DN20",80,"1.050 in","0.154 in","0.722 in","1+3/16 in","3/16 in","1+7/16 in",".09 lb"
"816-010","1""","22+1/2 deg","DN25",80,"1.315 in","0.179 in","0.936 in","1+3/8 in","9/32 in","1+23/32 in",".13 lb"
"816-012","1-1/4""","22+1/2 deg","DN32",80,"1.660 in","0.191 in","1.255 in","1+1/2 in","5/16 in","2+3/32 in",".19 lb"
"816-015","1-1/2""","22+1/2 deg","DN40",80,"1.900 in","0.200 in","1.476 in","1+21/32 in","1/4 in","2+3/8 in",".26 lb"
"816-015F","1-1/2""","22+1/2 deg","DN40",80,"1.900 in","0.200 in","1.476 in","2+1/8 in","5/8 in","2+5/16 in",".26 lb"
"816-020","2""","22+1/2 deg","DN50",80,"2.375 in","0.218 in","1.913 in","1+7/8 in","7/16 in","2+7/8 in",".38 lb"
"816-025","2-1/2""","22+1/2 deg","DN65",80,"2.875 in","0.276 in","2.290 in","2+7/32 in","15/32 in","3+1/2 in",".68 lb"
"816-025F","2-1/2""","22+1/2 deg","DN65",80,"2.875 in","0.276 in","2.290 in","2+7/8 in","7/8 in","3+7/16 in",".75 lb"
"816-030","3""","22+1/2 deg","DN80",80,"3.500 in","0.300 in","2.864 in","2+13/32 in","9/16 in","4+5/32 in",".95 lb"
"816-040","4""","22+1/2 deg","DN100",80,"4.500 in","0.337 in","3.786 in","2+7/8 in","5/8 in","5+1/4 in","1.64 lb"
"816-050F","5""","22+1/2 deg","DN125",80,"5.563 in","0.375 in","4.768 in","4+1/8 in","1+1/8 in","6+5/16 in","3.15 lb"
"816-060","6""","22+1/2 deg","DN150",80,"6.625 in","0.432 in","5.709 in","4+9/16 in","1+3/8 in","7+7/16 in","4.33 lb"
"816-060F","6""","22+1/2 deg","DN150",80,"6.625 in","0.432 in","5.709 in","4+5/8 in","1+3/8 in","7+1/2 in","5.02 lb"
"816-080","8""","22+1/2 deg","DN200",80,"8.625 in","0.500 in","7.565 in","5+1/16 in","1+1/32 in","9+3/4 in","8.19 lb"
"816-080F","8""","22+1/2 deg","DN200",80,"8.625 in","0.500 in","7.565 in","5+7/8 in","1+5/8 in","9+5/8 in","9.41 lb"
"816-100F","10""","22+1/2 deg","DN250",80,"10.750 in","0.593 in","9.493 in","7+5/16 in","2+1/16 in","11+15/16 in","17.25 lb"
"816-120F","12""","22+1/2 deg","DN300",80,"12.750 in","0.687 in","11.294 in","8+9/16 in","2+5/16 in","14+1/8 in","26.03 lb"
"417-005","1/2""","45 deg","DN15",40,"0.840 in","0.109 in","0.602 in","1 in","1/4 in","1+3/32 in",".04 lb"
"417-007","3/4""","45 deg","DN20",40,"1.050 in","0.113 in","0.804 in","1+3/8 in","7/16 in","1+5/16 in",".07 lb"
"417-010","1""","45 deg","DN25",40,"1.315 in","0.133 in","1.029 in","1+1/2 in","15/32 in","1+21/32 in",".11 lb"
"417-012","1-1/4""","45 deg","DN32",40,"1.660 in","0.140 in","1.360 in","1+19/32 in","3/8 in","1+31/32 in",".15 lb"
"417-015","1-1/2""","45 deg","DN40",40,"1.900 in","0.145 in","1.590 in","1+29/32 in","19/32 in","2+1/4 in",".22 lb"
"417-020","2""","45 deg","DN50",40,"2.375 in","0.154 in","2.047 in","2+1/16 in","11/16 in","2+3/4 in",".31 lb"
"417-025","2-1/2""","45 deg","DN65",40,"2.875 in","0.203 in","2.445 in","2+7/16 in","11/16 in","3+3/8 in",".57 lb"
"417-030","3""","45 deg","DN80",40,"3.500 in","0.216 in","3.042 in","2+27/32 in","27/32 in","4 in",".84 lb"
"417-040","4""","45 deg","DN100",40,"4.500 in","0.237 in","3.998 in","3+3/32 in","1+3/32 in","5+1/32 in","1.22 lb"
"417-050","5""","45 deg","DN125",40,"5.563 in","0.258 in","5.016 in","4+3/8 in","1+3/8 in","6+5/32 in","2.47 lb"
"417-060","6""","45 deg","DN150",40,"6.625 in","0.280 in","6.031 in","4+3/4 in","1+23/32 in","7+9/32 in","3.61 lb"
"417-080","8""","45 deg","DN200",40,"8.625 in","0.322 in","7.942 in","6 in","2 in","9+3/8 in","6.58 lb"
"417-100","10""","45 deg","DN250",40,"10.750 in","0.365 in","9.976 in","7+5/8 in","2+19/32 in","12+1/8 in","18.99 lb"
"417-120","12""","45 deg","DN300",40,"12.750 in","0.406 in","11.889 in","9+1/16 in","3+3/16 in","15+3/8 in","32.01 lb"
"417-120F","12""","45 deg","DN300",40,"12.750 in","0.406 in","11.889 in","10 in","3+3/4 in","13+1/2 in","17.39 lb"
"817-002","1/4""","45 deg","DN8",80,"0.540 in","0.119 in","0.282 in","13/16 in","5/32 in","27/32 in",".03 lb"
"817-003","3/8""","45 deg","DN10",80,"0.675 in","0.126 in","0.403 in","31/32 in","7/32 in","1 in",".04 lb"
"817-005","1/2""","45 deg","DN15",80,"0.840 in","0.147 in","0.526 in","1+1/8 in","1/4 in","1+3/16 in",".06 lb"
"817-007","3/4""","45 deg","DN20",80,"1.050 in","0.154 in","0.722 in","1+5/16 in","5/16 in","1+7/16 in",".09 lb"
"817-010","1""","45 deg","DN25",80,"1.315 in","0.179 in","0.936 in","1+7/16 in","5/16 in","1+23/32 in",".15 lb"
"817-012","1-1/4""","45 deg","DN32",80,"1.660 in","0.191 in","1.255 in","1+5/8 in","3/8 in","2+1/8 in",".23 lb"
"817-015","1-1/2""","45 deg","DN40",80,"1.900 in","0.200 in","1.476 in","1+13/16 in","7/16 in","2+3/8 in",".30 lb"
